Taxa	SimTrait
38-11	3.14387607839918
4226	2.2367231742118
4722	2.45868427724686
A188	4.62968477398969
A214N	2.76831063181484
A239	0.878448781826065
A272	4.7174867388886
A441-5	3.24314755689359
A554	4.84838491401976
A556	9.65811450342474
A6	9.06027688402709
A619	-0.0366187791551327
A632	-0.181297037241094
A634	1.81893246366693
A635	4.1055399668671
A641	7.88638742250887
A654	11.0474706861663
A659	4.06085326263783
A679	-1.12266875221974
A680	-3.24312308555674
B104	0.785972108120945
B105	1.88547492071837
B109	-3.98896150946447
B115	5.63800593244042
B14A	3.46912072847176
B164	1.52724170659517
B37	-3.96615180785632
B46	1.1749833241853
B52	1.96922418121853
B57	2.6885768523247
B68	-0.0328583759498033
B73HTRHM	0.269499584311407
B75	1.45141136336122
B76	0.000508745918993192
B77	0.459512390648262
B79	-4.55343925375329
B84	-3.75877633951978
B97	3.58038328699335
C103	7.90272383949248
C123	11.2977234204816
C49A	2.24032061379838
CH9	5.05783552807756
CI7	0.587622560444703
CI21E	-1.79964232230122
CI3A	6.09041539309786
CI64	1.38004886426821
CI66	-0.00183614014744149
CI90C	-2.60987268607582
CM174	2.0363781662744
CM37	2.73062913869255
CM7	-1.2800144739156
CML10	3.78244029414279
CML103	12.0310963656309
CML108	7.4963313297568
CML14	1.76320059944624
CML154Q	3.05315597246106
CML157Q	6.77833396749495
CML158Q	4.43967897160504
CML228	2.1676567636141
CML238	4.2797874057514
CML247	8.60407437713001
CML258	2.0507388467481
CML261	4.82401903346592
CML264	9.31696702345766
CML281	-3.03123589043421
CML287	4.57284401726973
CML311	2.61752447736477
CML314	9.6367259903882
CML328	4.3271364711726
CML331	9.1526076221885
CML332	14.1923600167431
CML333	-1.30006736642371
CML341	3.25157911191048
CML38	2.36094095187194
CML45	2.84189988333534
CML5	9.71218832265614
CML52	5.05070172638389
CML61	8.75316998720038
CML69	2.42746288149895
CML77	7.87659766721332
CML92	-0.640509549888984
CMV3	0.0728137604580061
CO106	1.96082019965891
CO125	-0.856093432372714
CO255	2.91638751135229
D940Y	1.20354485831312
DE2	3.84294439058829
DE3	0.239481638789653
DE1	5.51991068302973
DE811	-2.6940549296623
E2558W	-0.483210952455381
F2834T	7.73029391443805
F44	2.01464174738605
F6	2.09922244180847
F7	3.76924720387502
GA209	5.05069843896455
GT112	4.58237898441499
H105W	2.41996868761126
H49	3.43146393911626
H84	-2.38005098400661
H95	-1.05116501469742
H99	-4.07564052070315
HI27	9.72008060913151
HP301	11.1520711085321
HY	-1.39721834733891
I137TN	-2.51316597124386
I205	-1.28583073937209
I29	3.19522507601032
IA2132	-1.00288766537861
IA5125	1.43461757024751
IDS28	6.95252048797345
IDS69	6.98550239025984
IDS91	7.25334092708598
IL101	2.94612709822104
IL14H	6.48645054208654
IL677A	-0.0198114092215571
K148	5.07768792775667
K4	3.25047783124354
K55	1.87701230260592
K64	5.48427978115668
KI11	12.4711471882743
KI14	2.67247122738271
KI2021	6.17459045965786
KI3	2.86443748655256
KI43	1.74714041808584
KI44	-0.0793633917922212
KY21	-2.83900136143323
KY226	6.1733145634257
KY228	2.67596885365157
L317	-3.01432566029668
L578	-1.08059008494558
M14	-0.639304032498198
M162W	3.16471508136388
MO17	-3.97557260673586
MO18W	7.72563330559467
MO1W	5.87852572165921
MO24W	7.69804871129793
MO44	4.0189769562954
MO45	3.55087512098738
MO46	3.84185102922213
MOG	-1.48185274636921
MP339	4.04273251593069
MS1334	0.784401284456256
MS153	-2.89250595647338
MS71	0.751573044146307
N192	-1.80363233638689
N28HT	0.690693866523543
N6	3.44434873410666
N7A	4.45446366394189
NC222	11.4149101924763
NC230	0.90348465664497
NC232	9.04697097074026
NC236	-3.59121672844743
NC238	-0.217805173391915
NC258	3.77277562706584
NC260	4.07994915641512
NC262	4.64775870604685
NC264	-2.09967974962651
NC290A	7.51599986756409
NC296	8.41837479988528
NC296A	12.2605820428301
NC298	-0.45351523240025
NC302	4.37175478973064
NC306	3.69149491937565
NC310	-1.12064807862302
NC318	-0.977144827135149
NC320	3.86339717445094
NC324	4.49326744453543
NC326	-4.08101615430818
NC328	4.48440069737318
NC33	9.90375319810158
NC336	5.99665939466509
NC338	7.95681800213027
NC340	-4.54261654128876
NC344	0.889368941346743
NC346	10.1158894145281
NC348	1.98623459271563
NC350	6.58909471900686
NC352	10.3608191749238
NC354	4.58030849095902
NC356	6.14345602439534
NC358	2.44774316609768
NC360	3.37718278968889
NC364	2.64426249684357
NC368	1.30877985821233
OH40B	-1.9860851716536
OH43	-0.782211995816799
OH43E	0.0282877533589376
OH603	2.41407691027231
OH7B	4.75717770378597
P39	-4.64923578844727
PA762	0.0803024868669024
PA875	4.88652751521308
PA880	3.55363771700974
PA91	12.5898346150449
R109B	2.90142508900696
R168	7.33422567742776
R177	-5.36414685402281
R4	2.37622584335313
SA24	2.35746831254853
SC357	8.3883990094939
SC55	3.13024067574303
SD40	4.27698158682658
SG1533	11.7716485329123
T234	-1.17570450979666
T8	2.1633410324874
TX303	3.2694044983259
TX601	-0.780899366687722
TZI11	0.436369550645274
TZI25	-3.66417033329736
TZI8	7.16591076796228
TZI9	10.8110347959819
VA14	3.98197347775279
VA17	10.3166387636435
VA22	4.16864508173703
VA26	6.42063984672393
VA35	-2.50700620621092
VA59	-1.87800248284013
VA85	7.32779547292048
VAW6	2.25219050293293
W153R	-4.86731356101903
W22R-RSTD	-2.82797911339133
W22	2.73799911912045
WD	2.51806012968989
WF9	5.60219201310436
